Date,Sleep,Wake
12/1/2017,16,1
12/2/2017,19,-10
12/3/2017,-45,0
12/4/2017,8,1
12/5/2017,-23,-16
12/6/2017,-53,-3
12/7/2017,21,-1
12/8/2017,-17,1
12/9/2017,20,101
12/10/2017,19,-1
12/11/2017,8,1
12/12/2017,19,1
12/13/2017,9,1
12/14/2017,26,-4
12/15/2017,29,-9
12/16/2017,19,-7
12/17/2017,11,57
12/18/2017,46,-3
12/19/2017,-39,-7
12/20/2017,68,0
12/21/2017,34,1
12/22/2017,10,0
12/23/2017,15,1
12/24/2017,46,1
12/25/2017,48,-8
12/26/2017,9,1
12/27/2017,-17,122
12/28/2017,15,1
12/29/2017,-1,58
12/30/2017,-7,128
12/31/2017,27,86
1/1/2018,-21,2
1/2/2018,21,-4
1/3/2018,43,1
1/4/2018,-5,25
1/5/2018,11,-10
1/6/2018,20,60
1/7/2018,27,1
1/8/2018,44,1
1/9/2018,52,108
1/10/2018,87,1
1/11/2018,23,0
1/12/2018,44,1
1/13/2018,-44,1
1/14/2018,41,1
1/15/2018,10,0
1/16/2018,8,0
1/17/2018,-10,-3
1/18/2018,43,-5
1/19/2018,21,-7
1/20/2018,14,140
1/21/2018,25,-57
1/22/2018,19,-1
1/23/2018,48,1
1/24/2018,3,-1
1/25/2018,-13,-6
1/26/2018,53,1
1/27/2018,42,195
1/28/2018,9,-29
1/29/2018,-14,0
1/30/2018,-1,-1
1/31/2018,10,1
2/1/2018,0,-18
2/2/2018,-25,1
