Date,Sleep,Wake,,,,
12/5/2017,15,0,,,,
12/6/2017,11,0,,,,
12/7/2017,10,0,,,,
12/8/2017,21,12,,,,
12/9/2017,2,0,,,,
12/10/2017,3,0,,,,
12/11/2017,1,0,,,,
12/12/2017,4,0,,,,
12/13/2017,1,0,,,,
12/14/2017,14,0,,,,
12/15/2017,-10,-2,,,,
12/16/2017,5,0,,,,
12/17/2017,3,0,,,,
12/18/2017,4,0,,,,
12/19/2017,11,0,,,,
12/20/2017,8,0,,,,
12/21/2017,9,0,,,,
12/22/2017,3,0,,,,
12/23/2017,2,10,,,,
12/24/2017,6,0,,,,
12/25/2017,8,2,,,,
12/26/2017,-10,-5,,,,
12/27/2017,12,10,,,,
12/28/2017,32,40,,,,
12/29/2017,12,20,,,,
12/30/2017,12,30,,,,
12/31/2017,11,22,,,,
1/1/2018,10,12,,,,
1/2/2018,5,0,,,,
1/3/2018,4,0,,,,
1/4/2018,2,1,,,,
1/5/2018,1,2,,,,
1/6/2018,-4,-15,,,,
1/7/2018,-5,2,,,,
1/8/2018,1,2,,,,
1/9/2018,10,1,,,,
1/10/2018,0,2,,,,
1/11/2018,5,1,,,,
1/12/2018,6,1,,,,
1/13/2018,4,-40,,,,
1/14/2018,4,12,,,,
1/15/2018,12,21,,,,
1/16/2018,50,65,,,,
1/17/2018,34,30,,,,
1/18/2018,40,40,,,,
1/19/2018,54,68,,,,
1/20/2018,12,10,,,,
1/21/2018,23,15,,,,
1/22/2018,4,0,,,,
1/23/2018,3,0,,,,
1/24/2018,1,0,,,,
1/25/2018,0,0,,,,
1/26/2018,2,-10,,,,
1/27/2018,2,-15,,,,
1/28/2018,-1,0,,,,
1/29/2018,-1,0,,,,
1/30/2018,4,0,,,,
1/31/2018,5,0,,,,
2/1/2018,3,0,,,,
2/2/2018,31,2,,,,
